spot,pays,region,type,hauteur,orientation,nombre de voies,cotations
Les Basses Gorges,France,Lozère,,35 m,Sud-Est,-,De - à -
Les Bossons,France,Haute-Savoie,Bloc,4 à 5 m,Toutes,25 blocs pour 150 passages,De 3c à 7b
Les Calanques,France,Bouches-du-Rhône,Falaise,10 à 100 m,Toutes,3000 voies,De 3a à 9a
Les Cerces,France,Hautes-Alpes,Falaise,300 m,Toutes,130 voies,De 5c à ED
Les Dentelles de Montmirail,France,Vaucluse,Falaise,90 m par endroit,"Nord, Sud",800 voies,De 3c à 8b
Les Dents de Lanfon,France,Haute-Savoie,Falaise,250 m,Sud-Ouest,20 voies,De 5+ à 7b
Les Eaux-Claires,France,Charente,"Bloc, Falaise",10 à 18 m,Sud principalement,400 voies,De 4a à 9a
Les Falloises de Vertus,France,Marne,Falaise,25 m,Est,130 voies,De 3a à 7c
Les Fiz,France,Haute-Savoie,Falaise,200 à 600 m,"Sud, Sud-Est",15 voies,De 5b à 7a+
Les Gicons,France,Hautes-Alpes,Falaise,30 m,"Sud, sud-ouest",60,De 3c à 8a
Les Gillardes,France,Isère,Falaise,550 m,Ouest,22,De 6a+ à 7a+
Les Gorges du Loup,France,Alpes-Maritimes,Falaise,45 m,Ouest,70 voies,De 6a à 9a
Les Herbez,France,Alpes-de-Haute-Provence,Falaise,60 m,"Sud, Sud-Est et Ouest",160,De 4 à 8b+/c
Les Lames,France,Isère,Falaise,35 m,Sud-Ouest,Une centaine,De 4c à 8b
Les Petits Goulets,France,Drôme,Falaise,80 m à 200 m,Orienté Sud-Est. À l’ombre l’après-midi.,103,De 4 à 8c+
Les Pinets,France,Isère,Falaise,20 à 30 m,"Est, Sud",20,De 3a à 6a+
Les Roches Qui Dansent,France,Drôme,Bloc,8 m,Toutes,"21 blocs, 90 pasages",De 4a à 8a
Les Sucettes de Borne,France,Drôme,Falaise,100 m,"Nord, Sud",60,De 5a à 8a+
Les Traverses,France,Hautes-Alpes,Falaise,35 m,"Sud, Sud-Ouest",Plus de 50,De 4b à 8b
Les Trois Rivières (Entrechaux),France,Vaucluse,Falaise,30 m,"Nord, Nord-Ouest",Une centaine,De 6a à 8b/c
Llo,France,Pyrénées-Orientales,Falaise,10 à 30 m,"Sud, Sud-Ouest",40 voies,De 4a à 8a
L’auberge Espagnole,France,Drôme,Falaise,35 m,Toutes,60 voies,De 5a à 8b+
Manjo Carn,France,Tarn-et-Garonne,Falaise,15 à 90 m,"nord, nord-ouest",-,De 4b à 9a
Margalef,Espagne,,Falaise,NC,Toutes,500 voies,De 4a à 9b
Marocaz,France,Savoie,Falaise,15 à 30 m,"Est, Sud-Est",54 voies,De 6a+ à 8b+
Médonnet,France,Haute-Savoie,Bloc,5 m,Toutes,250 passages,De 4b à 8a
Mévouillon,France,Drôme,Falaise,35 m,"Est, ouest",60,De 4a à 8b
Millennium,Italie,,Falaise,60 m,Est,100 voies,De 6a à 8b
Mollans sur Ouvèze,France,Vaucluse,Falaise,de 10 à 35 m,"Nord, Nord-Est, Sud, Sud-Est",150,De 5a à 9b
